id,title,all_authors,author_gender,category,orthography,rfdsd,mninsl,wc
SvB_BS_229,Maskarna på Carmine Street,Håkan Nesser,M,CRIME,quot,212600,9.208521626856037,67093
SvB_BS_230,Den farliga leken,Mari Jungstedt,F,CRIME,dash,249505,14.249827467218772,82756
SvB_BS_231,De ensamma,Håkan Nesser,M,CRIME,quot,267303,11.086611771881671,135999
SvB_BS_232,Vårlik,Mons Kallentoft,M,CRIME,quot,228317,11.621819749892195,118042
SvB_BS_234,Alkemisten,Paulo Coelho,M,OTHER,quot,232343,14.163779527559056,38710
SvB_BS_235,Elva minuter,Paulo Coelho,M,OTHER,quot,154936,15.004347826086956,66821
SvB_BS_237,Låt den rätte komma in,John Ajvide Lindqvist,M,OTHER,quot,149776,6.652130492676432,133419
SvB_BS_238,Shantaram,Gregory David Roberts,M,OTHER,quot,296260,17.293491671807526,378489
SvB_BS_240,Femtio nyanser av honom,E.L. James,F,ROMANCE,quot,242363,8.628210709621245,163548
SvB_BS_241,Femtio nyanser av mörker,E.L. James,F,ROMANCE,quot,283015,7.863206705903335,155783
SvB_BS_242,Morgon i Jenin,Susan Abulhawa,F,OTHER,quot,138516,9.51453488372093,94516
SvB_BS_243,Femtio nyanser av frihet,E.L. James,F,ROMANCE,quot,274923,7.2430889423076925,175358
SvB_BS_244,Min fantastiska väninna,Elena Ferrante,F,OTHER,quot,107700,9.207011686143572,102414
SvB_BS_245,Hennes nya namn,Elena Ferrante,F,OTHER,quot,170196,10.450941129355225,153329
SvB_BS_246,Toner i natten,Jojo Moyes,F,ROMANCE,quot,306253,11.304519259933272,121700
SvB_BS_247,Kvinnan på tåget,Paula Hawkins,F,CRIME,quot,195771,12.400494437577256,102487
SvB_BS_248,Det lilla bageriet på strandpromenaden,Jenny Colgan,F,ROMANCE,quot,276620,7.86051026067665,102469
SvB_BS_249,Mannen som sökte sin skugga,David Lagercrantz,M,CRIME,quot,282838,14.442990654205607,109278
SvB_BS_250,Begynnelse,Dan Brown,M,CRIME,quot,336144,13.035794813979708,137593
SvB_BS_251,Häxan,Camilla Läckberg,F,CRIME,quot,344486,13.814829344841113,204444
SvB_BS_252,Det förlorade barnet,Elena Ferrante,F,PRESTIGE,quot,185549,12.847738468428124,154617
SvB_BS_253,"Den som stannar, den som går",Elena Ferrante,F,OTHER,quot,189808,11.728860294117647,134462
SvB_BS_254,Top dogg,Jens Lapidus,M,CRIME,quot,311403,12.814857471926288,142921
SvB_BS_255,Törst,Jo Nesbø,M,CRIME,quot,451140,12.319276018099547,150871
SvB_BS_256,Never let me go,Kazuo Ishiguro,M,PRESTIGE,quot,247901,19.870539419087137,96587
SvB_BS_257,Det förlovade landet,Mari Jungstedt,F,CRIME,dash,214508,11.648527528809218,84822
SvB_BS_258,Selfies,Jussi Adler-Olsen,M,CRIME,quot,391884,19.018584936419956,148845
SvB_BS_259,Sommar på strandpromenaden,Jenny Colgan,F,ROMANCE,quot,328516,8.815489130434782,98750
SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,Jenny Colgan,F,ROMANCE,quot,330910,9.589887640449438,72219
SvB_BS_261,Lazarus,Lars Kepler,2,CRIME,dash,220280,8.69748928352725,128954
SvB_BS_263,Bränn alla mina brev,Alex Schulman,M,OTHER,quot,149364,9.566709021601017,50407
SvB_BS_264,De som dödar drömmar sover aldrig,Jan Guillou,M,OTHER,quot,160313,13.025324675324676,125124
SvB_BS_265,En andra chans,Jojo Moyes,F,ROMANCE,quot,321484,13.042080654587961,138825
